VGate,IChannel1,IChannel2,,IChannel3,IChannel4
3.08,0.00266,0.00259,-2.59E-03,2.59E-03,0.00255
3.09,0.00267,0.00261,-2.61E-03,2.61E-03,0.00256
3.1,0.00269,0.00263,-2.63E-03,2.63E-03,0.00258
3.11,0.00271,0.00265,-2.65E-03,2.65E-03,0.0026
3.12,0.00273,0.00267,-2.67E-03,2.67E-03,0.00262
3.13,0.00275,0.00268,-2.68E-03,2.68E-03,0.00264
3.14,0.00277,0.0027,-2.70E-03,2.70E-03,0.00265
3.15,0.00279,0.00272,-2.72E-03,2.72E-03,0.00267
3.16,0.0028,0.00274,-2.74E-03,2.74E-03,0.00269
3.17,0.00282,0.00276,-2.76E-03,2.76E-03,0.00271
3.18,0.00284,0.00278,-2.78E-03,2.78E-03,0.00273
3.19,0.00286,0.00279,-2.79E-03,2.79E-03,0.00274
3.2,0.00288,0.00281,-2.81E-03,2.81E-03,0.00276
3.21,0.0029,0.00283,-2.83E-03,2.83E-03,0.00278
3.22,0.00292,0.00285,-2.85E-03,2.85E-03,0.00279
3.23,0.00294,0.00287,-2.87E-03,2.87E-03,0.00282
3.24,0.00296,0.00289,-2.89E-03,2.89E-03,0.00283
3.25,0.00297,0.00291,-2.91E-03,2.91E-03,0.00285
3.26,0.00299,0.00293,-2.93E-03,2.93E-03,0.00287
3.27,0.00301,0.00295,-2.95E-03,2.95E-03,0.00289
3.28,0.00303,0.00296,-2.96E-03,2.96E-03,0.00291
3.29,0.00305,0.00298,-2.98E-03,2.98E-03,0.00293
3.3,0.00307,0.003,-3.00E-03,3.00E-03,0.00295
3.31,0.00309,0.00302,-3.02E-03,3.02E-03,0.00296
3.32,0.00311,0.00304,-3.04E-03,3.04E-03,0.00298
3.33,0.00312,0.00306,-3.06E-03,3.06E-03,0.003
3.34,0.00314,0.00308,-3.08E-03,3.08E-03,0.00302
3.35,0.00316,0.0031,-3.10E-03,3.10E-03,0.00304
3.36,0.00318,0.00311,-3.11E-03,3.11E-03,0.00306
3.37,0.0032,0.00313,-3.13E-03,3.13E-03,0.00308
3.38,0.00322,0.00315,-3.15E-03,3.15E-03,0.00309
3.39,0.00324,0.00317,-3.17E-03,3.17E-03,0.00311
3.4,0.00326,0.00319,-3.19E-03,3.19E-03,0.00313
3.41,0.00327,0.00321,-3.21E-03,3.21E-03,0.00315
3.42,0.00329,0.00323,-3.23E-03,3.23E-03,0.00317
3.43,0.00331,0.00325,-3.25E-03,3.25E-03,0.00319
3.44,0.00333,0.00327,-3.27E-03,3.27E-03,0.0032
3.45,0.00335,0.00328,-3.28E-03,3.28E-03,0.00322
3.46,0.00337,0.00331,-3.31E-03,3.31E-03,0.00324
3.47,0.00339,0.00332,-3.32E-03,3.32E-03,0.00326
3.48,0.00341,0.00335,-3.35E-03,3.35E-03,0.00328
3.49,0.00343,0.00336,-3.36E-03,3.36E-03,0.0033
3.5,0.00345,0.00339,-3.39E-03,3.39E-03,0.00332
3.51,0.00347,0.0034,-3.40E-03,3.40E-03,0.00334
3.52,0.00349,0.00343,-3.43E-03,3.43E-03,0.00336
3.53,0.00351,0.00344,-3.44E-03,3.44E-03,0.00338
3.54,0.00353,0.00347,-3.47E-03,3.47E-03,0.0034
3.55,0.00355,0.00348,-3.48E-03,3.48E-03,0.00342
3.56,0.00357,0.00351,-3.51E-03,3.51E-03,0.00344
3.57,0.00359,0.00353,-3.53E-03,3.53E-03,0.00346
3.58,0.00361,0.00355,-3.55E-03,3.55E-03,0.00348
3.59,0.00363,0.00357,-3.57E-03,3.57E-03,0.0035
3.6,0.00365,0.00359,-3.59E-03,3.59E-03,0.00351
3.61,0.00367,0.00361,-3.61E-03,3.61E-03,0.00353
