"VGate","I_10_Single","I_dd_Single","I_10_Series","I_dd_Series","I_10_Paralle","I_dd_Parallel"
2.51,-1.156e-05,-69,-2.55e-05,-69,-3.14e-06,-69
2.52,-1.158e-05,-69,-2.56e-05,-69,-3.14e-06,-69
2.53,-1.165e-05,-69,-2.57e-05,-69,-3.15e-06,-69
2.54,-1.166e-05,-69,-2.58e-05,-69,-3.15e-06,-69
2.55,-1.169e-05,-69,-2.58e-05,-69,-3.16e-06,-69
2.56,-1.173e-05,-69,-2.6e-05,-69,-3.16e-06,-69
2.57,-1.177e-05,-69,-2.61e-05,-69,-3.17e-06,-69
2.58,-1.178e-05,-69,-2.62e-05,-69,-3.17e-06,-69
2.59,-1.184e-05,-69,-2.62e-05,-69,-3.17e-06,-69
2.6,-1.188e-05,-69,-2.63e-05,-69,-3.18e-06,-69
2.61,-1.19e-05,-69,-2.64e-05,-69,-3.18e-06,-69
2.62,-1.193e-05,-69,-2.65e-05,-69,-3.18e-06,-69
2.63,-1.197e-05,-69,-2.66e-05,-69,-3.19e-06,-69
2.64,-1.2e-05,-69,-2.67e-05,-69,-3.19e-06,-69
2.65,-1.205e-05,-69,-2.68e-05,-69,-3.19e-06,-69
2.66,-1.208e-05,-69,-2.68e-05,-69,-3.2e-06,-69
2.67,-1.211e-05,-69,-2.69e-05,-69,-3.2e-06,-69
2.68,-1.215e-05,-69,-2.7e-05,-69,-3.2e-06,-69
2.69,-1.217e-05,-69,-2.71e-05,-69,-3.2e-06,-69
2.7,-1.221e-05,-69,-2.72e-05,-69,-3.21e-06,-69
2.71,-1.225e-05,-69,-2.73e-05,-69,-3.2e-06,-69
2.72,-1.226e-05,-69,-2.74e-05,-69,-3.21e-06,-69
2.73,-1.231e-05,-69,-2.74e-05,-69,-3.21e-06,-69
2.74,-1.234e-05,-69,-2.75e-05,-69,-3.21e-06,-69
2.75,-1.237e-05,-69,-2.76e-05,-69,-3.21e-06,-69
2.76,-1.24e-05,-69,-2.77e-05,-69,-3.2e-06,-69
2.77,-1.243e-05,-69,-2.78e-05,-69,-3.21e-06,-69
2.78,-1.247e-05,-69,-2.78e-05,-69,-3.21e-06,-69
2.79,-1.25e-05,-69,-2.8e-05,-69,-3.21e-06,-69
2.8,-1.253e-05,-69,-2.81e-05,-69,-3.21e-06,-69
2.81,-1.257e-05,-69,-2.81e-05,-69,-3.21e-06,-69
2.82,-1.259e-05,-69,-2.82e-05,-69,-3.21e-06,-69
2.83,-1.262e-05,-69,-2.83e-05,-69,-3.22e-06,-69
2.84,-1.266e-05,-69,-2.84e-05,-69,-3.23e-06,-69
2.85,-1.269e-05,-69,-2.84e-05,-69,-3.21e-06,-69
2.86,-1.271e-05,-69,-2.86e-05,-69,-3.22e-06,-69
2.87,-1.275e-05,-69,-2.86e-05,-69,-3.22e-06,-69
2.88,-1.277e-05,-69,-2.87e-05,-69,-3.22e-06,-69
2.89,-1.279e-05,-69,-2.88e-05,-69,-3.21e-06,-69
2.9,-1.281e-05,-69,-2.89e-05,-69,-3.21e-06,-69
2.91,-1.285e-05,-69,-2.89e-05,-69,-3.22e-06,-69
2.92,-1.288e-05,-69,-2.9e-05,-69,-3.21e-06,-69
2.93,-1.291e-05,-69,-2.91e-05,-69,-3.2e-06,-69
2.94,-1.294e-05,-69,-2.92e-05,-69,-3.2e-06,-69
2.95,-1.296e-05,-69,-2.93e-05,-69,-3.2e-06,-69
2.96,-1.301e-05,-69,-2.93e-05,-69,-3.2e-06,-69
2.97,-1.303e-05,-69,-2.94e-05,-69,-3.19e-06,-69
2.98,-1.307e-05,-69,-2.95e-05,-69,-3.2e-06,-69
2.99,-1.31e-05,-69,-2.96e-05,-69,-3.2e-06,-69
3.0,-1.315e-05,-69,-2.97e-05,-69,-3.2e-06,-69
3.01,-1.316e-05,-69,-2.97e-05,-69,-3.2e-06,-69
3.02,-1.32e-05,-69,-2.98e-05,-69,-3.19e-06,-69
3.03,-1.321e-05,-69,-2.99e-05,-69,-3.19e-06,-69
3.04,-1.324e-05,-69,-3e-05,-69,-3.19e-06,-69
3.05,-1.326e-05,-69,-3e-05,-69,-3.19e-06,-69
3.06,-1.329e-05,-69,-3.01e-05,-69,-3.19e-06,-69
3.07,-1.333e-05,-69,-3.02e-05,-69,-3.19e-06,-69
3.08,-1.335e-05,-69,-3.03e-05,-69,-3.19e-06,-69
3.09,-1.336e-05,-69,-3.03e-05,-69,-3.19e-06,-69
3.1,-1.34e-05,-69,-3.04e-05,-69,-3.19e-06,-69
3.11,-1.343e-05,-69,-3.05e-05,-69,-3.19e-06,-69
3.12,-1.346e-05,-69,-3.06e-05,-69,-3.18e-06,-69
3.13,-1.348e-05,-69,-3.06e-05,-69,-3.18e-06,-69
3.14,-1.35e-05,-69,-3.07e-05,-69,-3.17e-06,-69
3.15,-1.353e-05,-69,-3.08e-05,-69,-3.17e-06,-69
3.16,-1.355e-05,-69,-3.09e-05,-69,-3.16e-06,-69
3.17,-1.359e-05,-69,-3.09e-05,-69,-3.16e-06,-69
3.18,-1.362e-05,-69,-3.1e-05,-69,-3.16e-06,-69
3.19,-1.365e-05,-69,-3.1e-05,-69,-3.15e-06,-69
3.2,-1.366e-05,-69,-3.11e-05,-69,-3.15e-06,-69
3.21,-1.37e-05,-69,-3.12e-05,-69,-3.15e-06,-69
3.22,-1.373e-05,-69,-3.13e-05,-69,-3.14e-06,-69
3.23,-1.373e-05,-69,-3.14e-05,-69,-3.14e-06,-69
3.24,-1.377e-05,-69,-3.15e-05,-69,-3.13e-06,-69
3.25,-1.379e-05,-69,-3.15e-05,-69,-3.13e-06,-69
3.26,-1.383e-05,-69,-3.16e-05,-69,-3.12e-06,-69
3.27,-1.384e-05,-69,-3.17e-05,-69,-3.13e-06,-69
3.28,-1.386e-05,-69,-3.18e-05,-69,-3.12e-06,-69
3.29,-1.388e-05,-69,-3.18e-05,-69,-3.12e-06,-69
3.3,-1.391e-05,-69,-3.18e-05,-69,-3.1e-06,-69
3.31,-1.393e-05,-69,-3.19e-05,-69,-3.1e-06,-69
3.32,-1.395e-05,-69,-3.21e-05,-69,-3.1e-06,-69
3.33,-1.398e-05,-69,-3.21e-05,-69,-3.09e-06,-69
3.34,-1.401e-05,-69,-3.22e-05,-69,-3.08e-06,-69
3.35,-1.402e-05,-69,-3.22e-05,-69,-3.08e-06,-69
3.36,-1.406e-05,-69,-3.23e-05,-69,-3.08e-06,-69
3.37,-1.408e-05,-69,-3.24e-05,-69,-3.07e-06,-69
3.38,-1.41e-05,-69,-3.25e-05,-69,-3.06e-06,-69
3.39,-1.409e-05,-69,-3.26e-05,-69,-3.05e-06,-69
3.4,-1.415e-05,-69,-3.26e-05,-69,-3.06e-06,-69
3.41,-1.415e-05,-69,-3.26e-05,-69,-3.05e-06,-69
3.42,-1.417e-05,-69,-3.27e-05,-69,-3.05e-06,-69
3.43,-1.421e-05,-69,-3.28e-05,-69,-3.04e-06,-69
3.44,-1.423e-05,-69,-3.29e-05,-69,-3.04e-06,-69
3.45,-1.424e-05,-69,-3.29e-05,-69,-3.02e-06,-69
3.46,-1.425e-05,-69,-3.3e-05,-69,-3.02e-06,-69
3.47,-1.427e-05,-69,-3.31e-05,-69,-3.02e-06,-69
3.48,-1.428e-05,-69,-3.32e-05,-69,-3e-06,-69
3.49,-1.431e-05,-69,-3.32e-05,-69,-2.99e-06,-69
3.5,-1.434e-05,-69,-3.32e-05,-69,-2.99e-06,-69
3.51,-1.438e-05,-69,-3.33e-05,-69,-2.99e-06,-69
3.52,-1.439e-05,-69,-3.34e-05,-69,-2.98e-06,-69
3.53,-1.443e-05,-69,-3.35e-05,-69,-2.97e-06,-69
3.54,-1.446e-05,-69,-3.35e-05,-69,-2.97e-06,-69
3.55,-1.447e-05,-69,-3.36e-05,-69,-2.96e-06,-69
3.56,-1.447e-05,-69,-3.37e-05,-69,-2.96e-06,-69
3.57,-1.45e-05,-69,-3.37e-05,-69,-2.94e-06,-69
3.58,-1.453e-05,-69,-3.38e-05,-69,-2.94e-06,-69
3.59,-1.454e-05,-69,-3.39e-05,-69,-2.92e-06,-69
3.6,-1.458e-05,-69,-3.39e-05,-69,-2.93e-06,-69
3.61,-1.458e-05,-69,-3.4e-05,-69,-2.91e-06,-69
3.62,-1.46e-05,-69,-3.41e-05,-69,-2.9e-06,-69
3.63,-1.463e-05,-69,-3.41e-05,-69,-2.88e-06,-69
3.64,-1.463e-05,-69,-3.42e-05,-69,-2.88e-06,-69
3.65,-1.467e-05,-69,-3.42e-05,-69,-2.87e-06,-69
3.66,-1.467e-05,-69,-3.42e-05,-69,-2.86e-06,-69
3.67,-1.472e-05,-69,-3.43e-05,-69,-2.86e-06,-69
3.68,-1.474e-05,-69,-3.44e-05,-69,-2.84e-06,-69
3.69,-1.473e-05,-69,-3.44e-05,-69,-2.82e-06,-69
3.7,-1.476e-05,-69,-3.45e-05,-69,-2.81e-06,-69
3.71,-1.478e-05,-69,-3.46e-05,-69,-2.8e-06,-69
3.72,-1.48e-05,-69,-3.46e-05,-69,-2.79e-06,-69
3.73,-1.481e-05,-69,-3.47e-05,-69,-2.79e-06,-69
3.74,-1.482e-05,-69,-3.48e-05,-69,-2.78e-06,-69
3.75,-1.484e-05,-69,-3.48e-05,-69,-2.78e-06,-69
3.76,-1.485e-05,-69,-3.49e-05,-69,-2.75e-06,-69
