"Vout","Iout"
3.23,8.8e-06
3.235,8.84e-06
3.24,8.87e-06
3.245,8.9e-06
3.25,8.93e-06
3.255,8.96e-06
3.26,9e-06
3.265,9.04e-06
3.27,9.06e-06
3.275,9.1e-06
3.28,9.13e-06
3.285,9.17e-06
3.29,9.2e-06
3.295,9.24e-06
3.3,9.26e-06
3.305,9.3e-06
3.31,9.34e-06
3.315,9.37e-06
3.32,9.4e-06
3.325,9.42e-06
3.33,9.46e-06
3.335,9.5e-06
3.34,9.53e-06
3.345,9.57e-06
3.35,9.61e-06
3.355,9.65e-06
3.36,9.68e-06
3.365,9.71e-06
3.37,9.74e-06
3.375,9.78e-06
3.38,9.81e-06
3.385,9.85e-06
3.39,9.88e-06
3.395,9.91e-06
3.4,9.94e-06
3.405,9.99e-06
3.41,1.002e-05
3.415,1.005e-05
3.42,1.009e-05
3.425,1.012e-05
3.43,1.016e-05
3.435,1.019e-05
3.44,1.023e-05
3.445,1.026e-05
3.45,1.03e-05
3.455,1.034e-05
3.46,1.037e-05
3.465,1.041e-05
3.47,1.044e-05
3.475,1.048e-05
3.48,1.052e-05
3.485,1.055e-05
3.49,1.059e-05
3.495,1.062e-05
3.5,1.066e-05
3.505,1.07e-05
3.51,1.073e-05
3.515,1.077e-05
3.52,1.081e-05
3.525,1.084e-05
3.53,1.088e-05
3.535,1.091e-05
3.54,1.094e-05
3.545,1.099e-05
3.55,1.103e-05
3.555,1.106e-05
3.56,1.11e-05
3.565,1.112e-05
3.57,1.117e-05
3.575,1.12e-05
3.58,1.124e-05
3.585,1.127e-05
3.59,1.132e-05
3.595,1.135e-05
3.6,1.14e-05
3.605,1.144e-05
3.61,1.147e-05
3.615,1.151e-05
3.62,1.156e-05
3.625,1.158e-05
3.63,1.163e-05
3.635,1.167e-05
3.64,1.17e-05
3.645,1.175e-05
3.65,1.178e-05
3.655,1.182e-05
3.66,1.185e-05
3.665,1.189e-05
3.67,1.193e-05
3.675,1.197e-05
3.68,1.201e-05
3.685,1.205e-05
3.69,1.208e-05
3.695,1.213e-05
3.7,1.217e-05
3.705,1.221e-05
3.71,1.225e-05
3.715,1.229e-05
3.72,1.234e-05
3.725,1.238e-05
3.73,1.242e-05
3.735,1.246e-05
3.74,1.25e-05
3.745,1.254e-05
3.75,1.259e-05
3.755,1.262e-05
3.76,1.265e-05
