Vout,Iout
3.15,8.39E-06
3.155,8.41E-06
3.16,8.45E-06
3.165,8.49E-06
3.17,8.53E-06
3.175,8.56E-06
3.18,8.58E-06
3.185,8.62E-06
3.19,8.65E-06
3.195,8.69E-06
3.2,8.72E-06
3.205,8.75E-06
3.21,8.79E-06
3.215,8.82E-06
3.22,8.84E-06
3.225,8.88E-06
3.23,8.92E-06
3.235,8.92E-06
3.24,8.98E-06
3.245,9.00E-06
3.25,9.04E-06
3.255,9.07E-06
3.26,9.10E-06
3.265,9.13E-06
3.27,9.17E-06
3.275,9.20E-06
3.28,9.24E-06
3.285,9.27E-06
3.29,9.30E-06
3.295,9.34E-06
3.3,9.37E-06
3.305,9.40E-06
3.31,9.43E-06
3.315,9.47E-06
3.32,9.50E-06
3.325,9.53E-06
3.33,9.57E-06
3.335,9.60E-06
3.34,9.64E-06
3.345,9.67E-06
3.35,9.70E-06
3.355,9.73E-06
3.36,9.76E-06
3.365,9.80E-06
3.37,9.84E-06
3.375,9.87E-06
3.38,9.90E-06
3.385,9.94E-06
3.39,9.97E-06
3.395,1.00E-05
3.4,1.00E-05
3.405,1.01E-05
3.41,1.01E-05
3.415,1.02E-05
3.42,1.02E-05
3.425,1.02E-05
3.43,1.03E-05
3.435,1.03E-05
3.44,1.03E-05
3.445,1.04E-05
3.45,1.04E-05
3.455,1.04E-05
3.46,1.05E-05
3.465,1.05E-05
3.47,1.05E-05
3.475,1.06E-05
3.48,1.06E-05
3.485,1.06E-05
3.49,1.07E-05
3.495,1.07E-05
3.5,1.08E-05
3.505,1.08E-05
3.51,1.08E-05
3.515,1.09E-05
3.52,1.09E-05
3.525,1.09E-05
3.53,1.10E-05
3.535,1.10E-05
3.54,1.11E-05
3.545,1.11E-05
3.55,1.11E-05
3.555,1.12E-05
3.56,1.12E-05
3.565,1.12E-05
3.57,1.13E-05
3.575,1.13E-05
3.58,1.13E-05
3.585,1.14E-05
3.59,1.14E-05
3.595,1.15E-05
3.6,1.15E-05
3.605,1.15E-05
3.61,1.16E-05
3.615,1.16E-05
3.62,1.16E-05
3.625,1.17E-05
3.63,1.17E-05
3.635,1.18E-05
3.64,1.18E-05
3.645,1.18E-05
3.65,1.19E-05
3.655,1.19E-05
3.66,1.19E-05
3.665,1.20E-05
3.67,1.20E-05
3.675,1.21E-05
3.68,1.21E-05
3.685,1.21E-05
3.69,1.22E-05
3.695,1.22E-05
3.7,1.23E-05
3.705,1.23E-05
3.71,1.23E-05
3.715,1.24E-05
3.72,1.24E-05
3.725,1.25E-05
3.73,1.25E-05
3.735,1.25E-05
3.74,1.26E-05
3.745,1.26E-05
3.75,1.27E-05
3.755,1.27E-05
3.76,1.27E-05
3.765,1.28E-05
3.77,1.28E-05
3.775,1.29E-05
3.78,1.29E-05
3.785,1.29E-05
3.79,1.30E-05
3.795,1.30E-05
3.8,1.31E-05
3.805,1.31E-05
3.81,1.32E-05
3.815,1.32E-05
3.82,1.32E-05
3.825,1.33E-05
3.83,1.33E-05
3.835,1.34E-05
3.84,1.34E-05
3.845,1.35E-05
3.85,1.35E-05
3.855,1.35E-05
3.86,1.36E-05
3.865,1.36E-05
3.87,1.37E-05
3.875,1.37E-05
3.88,1.38E-05
3.885,1.38E-05
3.89,1.39E-05
3.895,1.39E-05
3.9,1.40E-05
3.905,1.40E-05
3.91,1.41E-05
3.915,1.41E-05
3.92,1.41E-05
3.925,1.42E-05
3.93,1.42E-05
3.935,1.43E-05
3.94,1.43E-05
3.945,1.44E-05
3.95,1.44E-05
3.955,1.45E-05
3.96,1.45E-05
3.965,1.46E-05
3.97,1.46E-05
3.975,1.47E-05
3.98,1.47E-05
3.985,1.48E-05
3.99,1.48E-05
3.995,1.49E-05
4,1.49E-05
4.005,1.51E-05
4.01,1.51E-05
4.015,1.52E-05
4.02,1.52E-05
4.025,1.53E-05
4.03,1.53E-05
4.035,1.54E-05
4.04,1.55E-05
4.045,1.55E-05
4.05,1.56E-05
4.055,1.56E-05
4.06,1.57E-05
4.065,1.57E-05
4.07,1.58E-05
4.075,1.58E-05
4.08,1.59E-05
4.085,1.60E-05
4.09,1.60E-05
4.095,1.61E-05
4.1,1.62E-05
4.105,1.62E-05
4.11,1.63E-05
4.115,1.63E-05
4.12,1.64E-05
4.125,1.65E-05
4.13,1.65E-05
4.135,1.66E-05
4.14,1.67E-05
4.145,1.67E-05
4.15,1.68E-05
4.155,1.69E-05
4.16,1.70E-05
4.165,1.70E-05
4.17,1.71E-05
4.175,1.72E-05
4.18,1.72E-05
4.185,1.73E-05
4.19,1.74E-05
4.195,1.75E-05
4.2,1.76E-05
4.205,1.76E-05
4.21,1.77E-05
4.215,1.78E-05
4.22,1.79E-05
4.225,1.80E-05
4.23,1.81E-05
4.235,1.82E-05
4.24,1.82E-05
4.245,1.83E-05
4.25,1.84E-05
4.255,1.85E-05
4.26,1.86E-05
4.265,1.87E-05
4.27,1.88E-05
4.275,1.89E-05
4.28,1.90E-05
4.285,1.92E-05
4.29,1.93E-05
4.295,
4.3,1.98E-05
4.305,1.99E-05
4.31,2.00E-05
4.315,2.01E-05
4.32,2.03E-05
4.325,2.04E-05
4.33,2.06E-05
4.335,2.07E-05
4.34,2.09E-05
4.345,2.10E-05
4.35,2.12E-05
4.355,2.14E-05
4.36,2.16E-05
4.365,2.18E-05
4.37,2.19E-05
4.375,2.21E-05
4.38,2.23E-05
4.385,2.25E-05
4.39,2.27E-05
4.395,2.30E-05
4.4,2.32E-05
4.405,2.34E-05
4.41,2.36E-05
4.415,2.39E-05
4.42,2.41E-05
4.425,2.43E-05
4.43,2.46E-05
4.435,2.49E-05
4.44,2.51E-05
4.445,2.54E-05
4.45,2.57E-05
4.455,2.60E-05
4.46,2.62E-05
4.465,2.65E-05
4.47,2.68E-05
4.475,2.71E-05
4.48,2.75E-05
4.485,2.79E-05
4.49,2.82E-05
4.495,2.86E-05
4.5,2.89E-05
4.505,2.93E-05
4.51,2.97E-05
4.515,3.01E-05
4.52,3.05E-05
4.525,3.09E-05
4.53,3.13E-05
4.535,3.17E-05
